Tabela;Qtde arquivos;Arquivos
"programacao_equipe";"5";"assets/js/adm-conferencia-sem-os.js | assets/js/adm-conferencia.js | assets/js/programacao-compartilhar-os.js | assets/js/programacao-despesas.js | assets/js/programacao-equipe.js"
"programacao_equipe_ultima";"1";"assets/js/programacao-equipe.js"
"programacao_estadia";"8";"assets/js/adm-hotel-hospedados.js | assets/js/adm-hotel-separacao-modulos.js | assets/js/hospedagem.js | assets/js/hotel-relatorio-v2.js | assets/js/programacao-despesas.js | assets/js/programacao-equipe.js | assets/js/programacao-sem-os.js | assets/js/programacao.js"
"programacao_extras";"3";"assets/js/programacao-despesas.js | assets/js/programacao-sem-os.js | assets/js/programacao.js"
"programacao_inativacao_solicitacoes";"5";"assets/js/adm-conferencia-sem-os.js | assets/js/desligamento-rh-patrimonios.js | assets/js/equipe.js | assets/js/patrimonioRelatorios.js | assets/js/programacao-sem-os.js"
"programacao_indisponibilidade_informados";"1";"assets/js/adm-conferencia-sem-os.js"
"programacao_usuario_supervisoes";"1";"assets/js/logistica-atualizar-mobile-filtros.js"
"programacao_veiculo_proprio";"1";"assets/js/conferencia-deslocamento.js"
"propostas_comerciais";"1";"assets/js/propostas.js"
"propostas_gestores_regionais";"1";"assets/js/propostas.js"
"relatorio_resultado_diario";"13";"assets/js/adm-conferencia.js | assets/js/adm-logistica.js | assets/js/auditoria.js | assets/js/logistica-informativos.js | assets/js/logistica.js | assets/js/metasFechamentoValidacao.js | assets/js/modules/dashboard-diretoria.js | assets/js/modules/dashboard-socio.js | assets/js/modules/dre.js | assets/js/modules/metas.js | assets/js/modules/relatorios.js | assets/js/relatorios.js | assets/js/uber.js"
"relatorios_importacoes";"1";"assets/js/modules/dre.js"
"rh_admissoes";"1";"assets/js/equipe.js"
"rh_advertencias";"1";"assets/js/advertenciasRh.js"
"rh_atestados";"4";"assets/js/indisponibilidade.js | assets/js/programacao-equipe.js | assets/js/programacao.js | assets/js/rhShared.js"
"rh_cartao_ponto";"1";"assets/js/cartaoPonto.js"
"rh_cat";"1";"assets/js/segurancaTrabalho.js"
"rh_clinicas_sst";"4";"assets/js/clinicas-sst.js | assets/js/exames.js | assets/js/modules/relatorios.js | assets/js/telegrama.js"
"rh_contratos_experiencia";"1";"assets/js/contratos.js"
"rh_documentos_registro";"1";"assets/js/equipe.js"
"rh_empresas";"2";"assets/js/epiRh.js | assets/js/holeritePagamentos.js"
"rh_epi_registros";"2";"assets/js/adm-compras.js | assets/js/financeiro.js"
"rh_exames";"1";"assets/js/exames.js"
"rh_ferias";"3";"assets/js/indisponibilidade.js | assets/js/programacao-equipe.js | assets/js/programacao.js"
"rh_folha";"1";"assets/js/holeritePagamentos.js"
"rh_integracao";"1";"assets/js/equipe.js"
"rh_plantao_contatos";"1";"assets/js/plantao.js"
"rh_plantao_escalas";"1";"assets/js/plantao.js"
"rh_plantao_modelos";"1";"assets/js/plantao.js"
"rh_plantao_setor_config";"1";"assets/js/equipe.js"
"rh_plantao_setor_editores";"1";"assets/js/equipe.js"
"rh_plantao_setores";"1";"assets/js/plantao.js"
"rh_rescisoes";"1";"assets/js/contratos.js"
"supervisoes";"4";"assets/js/adm-hotel-alojamentos-v2.js | assets/js/logistica.js | assets/js/programacao.js | assets/js/ti-agentes.js"
"termos_celular";"3";"assets/js/adm-compras.js | assets/js/compras.js | assets/js/termos.js"
"termos_veiculos";"1";"assets/js/termos.js"
"ti_integracao_segredos";"1";"assets/js/modules/ti.js"
"ti_integracoes";"2";"assets/js/admin-configuracoes.js | assets/js/modules/ti.js"
"v_leitura_supervisao";"2";"assets/js/metasFechamentoValidacao.js | assets/js/modules/metas.js"
"vw_alojamentos_ativos";"1";"assets/js/modules/programacao.api.example.js"
"vw_conferencia_uber_corridas";"2";"assets/js/adm-conferencia.js | assets/js/uber.js"
"vw_metas_producao_mensal";"1";"assets/js/modules/dashboard-socio.js"
"vw_metas_producao_regional";"1";"assets/js/modules/dashboard-socio.js"
"vw_patrimonios_atual";"5";"assets/js/desligamento-rh-patrimonios.js | assets/js/gestor-app.js | assets/js/mapa-operacional-programacao.js | assets/js/patrimonios.js | assets/js/programacao-carona-motorista.js"
